"DATA_CENTER_URL"	"SHORT_DCNAME"	"LONG_DCNAME"
"www.butbn.cas.cz"	"JCU Ceske Budejovice"	"University of South Bohemia, Faculty of Science"
"http://www.ua.ac.be/main.aspx?c=.ENGLISH"	"UA"	"University of Antwerp (Universiteit Antwerpen)"
	"NORSAR"	"NORSAR"
	"UiO NHM"	"University of Oslo, Natural History Museum"
"http://www.pg.gda.pl/eng.php"	"PG"	"Gdansk University of Technology (Politechnika Gdanska)"
	"UWM"	"University of Warmia and Mazury in Olsztyn "
	"NIOZ"	"Royal Netherlands Institute for Sea Research"
"http://www.ncaor.gov.in"	"NCAOR"	"National Centre for Antarctic and Ocean Research"
	"IITM"	"Indian Institute of Tropical Meteorology"
	"CCMB "	"Centre for Cellular and Molecular Biology "
"http://www.lkouniv.ac.in/"	"LKOUNIV"	"Lucknow University"
"http://www.mpg.de/english/institutesProjectsFacilities/instituteChoice/marine_mikrobiologie/"	"MPI"	"Max-Planck-Institute for Marine Microbiology"
"http://www.nfh.uit.no/index.aspx"	"UiT NFH"	"University of Tromsø, Norwegian College of Fishery Science (Norges fiskerihøgskole)"
"http://www.igf.fuw.edu.pl/igf/index.php?lang=en"	"IGF FUW"	"University of Warsaw, Institute of Geophysics"
"http://www.antarctica.ac.uk/"	"BAS"	"British Antarctic Survey"
	"INGV"	"Istituto Nazionale di Geofisica e Vulcanologia"
	"Keo Films - BBC Arctic Series"	"Keo Films- BBC Arctic Series"
	"UVM"	"University of Vermont, Department of Geography"
"http://www.uni-potsdam.de/english/"	"UP"	"University of Potsdam (Universität Potsdam)"
"www.wnoz.uni.wroc.pl"	"UP"	"Wroclaw University"
	"SBU"	"South Bohemian University in Ceske Budejovice"
"www.eiscat.se"	"EISCAT"	"EISCAT Scientific Association - Kiruna"
	"NOAA ESRL"	"National Oceanic and Atmospheric Administration,Earth System Research Lab"
	"FMI"	"Finnish Meteorological Institute"
"http://www.awi.de/en/institute/sites/bremerhaven/"	"AWI-Bremerhaven"	"Alfred Wegener Institute Bremerhaven"
	"PRIC"	"Polar Research Institute of China"
"www.teknik.uu.se/jonfysik"	"UU"	"Uppsala University, Ångström Laboratory"
"http://www.santateresa.enea.it/"	"ENEA"	"Marine Environment Research Centre"
	"SUR"	"Sapienza Università di Roma"
	"SNSK"	"Store Norske Spitsbergen Kullkompani"
	"SU ITM"	"Stockholm University, Dep. of Applied Environmental Science"
"www.akvaplan.niva.no"	"AN"	"Akvaplan-Niva"
"http://www.geology.uidaho.edu/default.aspx?pid=98905"	"UIDAHO"	"University of Idaho, Institute for Geological Sciences"
	"AGH"	"AGH -University of Science and Technology, Faculty of Mining Surveying and Environmental Engineering"
"http://www.arctowski.pl/?p=7"	"PAS DAB"	"Polish Academy of Sciences, Department of Antarctic Biology"
"http://www.geomorfologia.amu.edu.pl/"	"UAM"	"Adam Mickiewicz University, Faculty of Geographical and Geological Sciences, Institute of Geoecology and Geoinformation, Dept. of Geomorphology"
"http://www.utdallas.edu/"	"UTD"	"University of Texas at Dallas, USA"
"http://www.idpa.cnr.it"	"CNR-IDPA"	"National Research Council of Italy, Institute for the Dynamic of Environmental Processes"
"http://www.shef.ac.uk/"	"Uni Shef"	"University of Sheffield, Sheffield Centre for Arctic Ecology"
"http://www.shef.ac.uk/geography/"	"Uni Shef"	"University of Sheffield, Department of Geography"
